,Nazwa,Cena,Nominał,Waga,Stop,Średnica,Rant ,Producent
0,Kiwi 1 uncja Srebra 2014 Proof,"385,00 zł",1 Dollar,1 uncja,Ag .999,40 mm,Ząbkowany ,BH Mayer's Kunstprageanstalt GmbH
1,Itchy and Scratchy kolorowany 1 uncja Srebra 2021 Proo,"345,00 zł",1 Dollar,1 uncja,Ag .9999,"40,9 mm",Ząbkowany ,Perth Mint
2,Łabędź 1 uncja Srebra 2021 Proo,"275,00 zł",1 AUD,1 uncja,Ag .9999,"40,6 mm",,Perth Mint
3,Australian Nugget: Golden Eagle 1 uncja Srebra 202,"145,77 zł",1 AUD,1 uncja,Ag .9999,"40,6 mm",Ząbkowany ,Perth Mint
4,Amerykański Orzeł 1 uncja Srebra 2021 typ ,"159,72 zł",1$,1 uncja,Ag .999,"40,6 mm",Ząbkowany ,United States Mint
5,Chinese Myths and Legends: Dragon kolorowany (wersja z monetą w karcie) 1 uncja Srebra 202,"399,00 zł",1 AUD,1 uncja,Ag .9999,"40,6 mm",Ząbkowany ,Perth Mint
6,Chinese Myths and Legends: Dragon kolorowany 1 uncja Srebra 202,"215,00 zł",1 AUD,1 uncja,Ag .9999,"40,6 mm",Ząbkowany ,Perth Mint
7,Chinese Myths and Legends: Dragon 1 uncja Srebra 202,"145,77 zł",1 AUD,1 uncja,Ag .9999,"40,6 mm",Ząbkowany ,Perth Mint
8,Legendy Muzyki: THE WHO 1 uncja Srebra 2021 Proo,"549,00 zł",£2,1 uncja,Ag .999,"38,61 mm",Ząbkowany ,The Royal Mint
9,Legendy Muzyki: THE WHO 1 uncja Srebra 202,"139,74 zł",£2,1 uncja,Ag .999,"38,61 mm",Ząbkowany ,The Royal Mint
10,Australijski Emu 1 uncja Srebra 2021 MS 70 NGC First Day of Issu,"360,00 zł",1 AUD,1 uncja,Ag .9999,"40,6 mm",Ząbkowany ,Perth Mint
11,Australijskie Zoo: Gepard 1 uncja Srebra 202,"169,00 zł",1 Dollar,1 uncja,Ag .999,40 mm,,Royal Australian Mint
12,Ghana: Giants of the Ice Age - Nosorożec Włochaty 1 uncja Srebra 202,"145,00 zł",5 Cedis GHS,1 uncja,Ag .999,"38,6 mm",Ząbkowany ,Leipziger Edelmetallverarbeitung
13,Tokelau Ryba Rozdymka 2021 - 1 oz Srebro 202,"145,00 zł",5 $,1 uncja,Ag .9999,"38,6 mm",Ząbkowany ,
14,Beneath the Southern Skies 1 uncja Srebra 202,"134,76 zł",1 Dollar,1 uncja,Ag .999,40 mm,,Royal Australian Mint
15,Delfiniak Malajski 1 uncja Srebra 202,"155,00 zł",1 Dollar,1 uncja,Ag .9999,40 mm,,Royal Australian Mint
16,Łabędź 1 uncja Srebra 202,"189,00 zł",,1 uncja,Ag .999,"40,6 mm",,Perth Mint
17,Niue: Żółw Szylkretowy 1 uncja Srebra 202,"155,00 zł",2$,1 uncja,Ag .999,"40,6 mm",Ząbkowany ,New Zealand Mint
18,Niue: Żółw Szylkretowy 1 uncja Srebra 202,"145,00 zł",2$,1 uncja,Ag .999,"40,6 mm",Ząbkowany ,New Zealand Mint
19,Niue: Mechagodzilla 1 uncja Srebra 2021 Kolorowan,"225,00 zł",2$,1 uncja,Ag .999,39 mm,,Private Mint 
20,Niue: Godzilla vs. King Kong 1 uncja Srebra 2021 Kolorowan,"225,00 zł",2$,1 uncja,Ag .999,39 mm,,Private Mint 
21,Niue: Godzilla 1 uncja Srebra 2021 Kolorowan,"225,00 zł",2$,1 uncja,Ag .999,39 mm,,Private Mint 
22,Niue: King Kong 1 uncja Srebra 2021 Kolorowan,"225,00 zł",2$,1 uncja,Ag .999,39 mm,,Private Mint 
23,Niue: King Kong 1 uncja Srebra 2021 Sla,"195,00 zł",2$,1 uncja,Ag .999,39 mm,,Private Mint 
24,Niue: Godzilla 1 uncja Srebra 2021 Sla,"195,00 zł",2$,1 uncja,Ag .999,39 mm,,Private Mint 
25,Niue: King Kong 1 uncja Srebra 202,"159,00 zł",2$,1 uncja,Ag .999,39 mm,,Private Mint 
26,Niue: Godzilla 1 uncja Srebra 202,"159,00 zł",2$,1 uncja,Ag .999,39 mm,,Private Mint 
